Yearterm,Subject,Crse,Sec,OnlineFCQ,BDContinEdCrse,Instructor,FormsRequested,FormsReturned,CourseOverallPctValid,CourseOverall,CourseOverall_SD,InstructorOverall,InstructorOverall_SD,HoursPerWkInclClass,PriorInterest,InstrEffective,Availability,Challenge,HowMuchLearned,InstrRespect,CrsTitle,R_Presnt,R_Fair,Workload,R_Divstu,R_Access,R_Learn,Campus,College,ASdiv,Level,Fcqdept,Instr_Group,I_Num
20081,ANTH,2040,014,,,"OLSZOWY, KATHRYN",15,11,1,4.36328125,0.6741943359375,5.2724609375,0.6466064453125,0-3,3.4541015625,4.7265625,5.4541015625,3.63623046875,4.19921875,5.8173828125,"LAB IN PHYSICAL ANTH 2 G",,,,,,,BD,AS,SS,LD,ANTH,TA,1
20081,ANTH,2040,015,,,"BENDER, RICHARD",16,14,1,4.5712890625,1.08935546875,5.5712890625,0.6461181640625,0-3,3.642578125,5,5.5712890625,3.642578125,4.5,5.7138671875,"LAB IN PHYSICAL ANTH 2 G",,,,,,,BD,AS,SS,LD,ANTH,TA,1
20081,ANTH,2040,016,,,"BENDER, RICHARD",14,12,1,4.666015625,1.072998046875,5.666015625,0.6512451171875,0-3,3.41650390625,5,5.8330078125,4.3330078125,4.666015625,5.916015625,"LAB IN PHYSICAL ANTH 2 G",,,,,,,BD,AS,SS,LD,ANTH,TA,1
20081,ANTH,2100,010,,,"STAWKOWSKI, M",94,77,1,4.765625,0.9444580078125,5.0908203125,0.9891357421875,4-6,4.2333984375,4.8310546875,5.1884765625,4.466796875,4.8828125,5.947265625,"FRONTIERS OF CULT ANTH",,,,,,,BD,AS,SS,LD,ANTH,TA,1
20081,ANTH,2100,011,,,"DUBENDORF, JAMES",24,22,0.9544677734375,4.7138671875,1.007080078125,5.2373046875,0.8890380859375,4-6,4.3330078125,5.046875,5.2373046875,4.380859375,4.76171875,5.8564453125,RECITATION,,,,,,,BD,AS,SS,LD,ANTH,TA,1
20081,ANTH,2100,012,,,"DUBENDORF, JAMES",18,18,1,5,0.840087890625,5.5,0.6182861328125,4-6,4.0546875,5.27734375,5.166015625,4.0546875,4.888671875,6,RECITATION,,,,,,,BD,AS,SS,LD,ANTH,TA,1
20081,ANTH,2100,013,,,"THOMSON, MARNIE",19,12,1,4.8330078125,0.9373779296875,4.916015625,0.99609375,4-6,4.3330078125,4.5,5.25,4.25,5,5.75,RECITATION,,,,,,,BD,AS,SS,LD,ANTH,TA,1
20081,ANTH,2100,014,,,"THOMSON, MARNIE",15,15,1,3.8662109375,1.302001953125,4.3330078125,1.175048828125,4-6,4.19921875,4.28515625,5.2138671875,4.1328125,4.06640625,5.8662109375,RECITATION,,,,,,,BD,AS,SS,LD,ANTH,TA,1
20081,ANTH,2100,015,,,"DUBENDORF, JAMES",18,13,1,4.615234375,1.043701171875,4.615234375,1.2607421875,4-6,4.3076171875,4.5380859375,5.3076171875,4.3837890625,4.615234375,5.69140625,RECITATION,,,,,,,BD,AS,SS,LD,ANTH,TA,1
20081,ANTH,2200,010,,,"CAMERON, CATHERINE",124,72,1,4.4716796875,1.1982421875,4.5068359375,1.307861328125,4-6,4.15234375,4.2353515625,4.927734375,3.9443359375,4.619140625,5.8603515625,"INTRO TO ARCHAEOLOGY",,,,,,,BD,AS,SS,LD,ANTH,TTT,1
20081,ANTH,2200,011,,,"NEWTON, CODY",22,15,1,4.2666015625,0.8836669921875,4.3994140625,1.055419921875,0-3,4.06640625,3.7998046875,4.9326171875,3.8662109375,4.3330078125,5.7998046875,RECITATION,,,,,,,BD,AS,SS,LD,ANTH,TA,1
